time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
23:27:29:8510,-1.2996,-0.0751,1.8042,2.225
23:27:29:8610,-1.0331,0.0924,1.2247,1.605
23:27:29:8670,-0.7716,0.2847,0.0269,0.823
23:27:29:8780,-0.4747,0.5186,-1.0584,1.271
23:27:29:8950,-0.4211,0.9649,-1.0670,1.499
23:27:29:8970,-0.5009,1.3735,-1.0175,1.781
23:27:29:9110,-0.1979,1.5214,-0.6551,1.668
23:27:29:9180,0.1680,1.5455,0.2067,1.568
23:27:29:9340,0.4611,1.2985,0.6242,1.513
23:27:29:9390,0.5676,0.9958,0.6423,1.314
23:27:29:9480,0.5153,0.6121,-0.1007,0.806
23:27:29:9570,0.1922,0.2785,-1.0158,1.071
23:27:29:9750,-0.8681,-0.0089,-1.0291,1.346
23:27:29:9770,-1.9504,-0.2740,-0.8809,2.158
23:27:29:9880,-3.4102,-1.0545,-0.5185,3.607
23:27:30:0030,-4.1243,-1.5256,-0.4037,4.416
23:27:30:0100,-4.4338,-1.5191,-0.3773,4.702
23:27:30:0170,-2.8779,-1.7044,-0.0042,3.345
23:27:30:0270,-2.2894,-1.3178,0.1630,2.647
23:27:30:0370,-2.3252,-1.1736,0.1528,2.609
23:27:30:0500,-1.5943,-0.2009,0.9500,1.867
23:27:30:0570,-1.2415,-0.0414,1.2074,1.732
23:27:30:0690,-0.9548,-0.1624,1.2992,1.621
23:27:30:0790,-0.8887,-0.3711,1.4795,1.765
23:27:30:0950,-0.7956,-0.4944,1.5781,1.835
23:27:30:0980,-0.6694,-0.5653,1.6083,1.831
23:27:30:1080,-0.3595,-0.5419,1.5667,1.696
23:27:30:1200,0.1911,-0.3935,1.4322,1.497
23:27:30:1350,0.7458,-0.1055,0.8549,1.139
23:27:30:1390,1.1577,0.1010,0.3479,1.213
23:27:30:1470,1.3256,0.2201,-0.2062,1.359
23:27:30:1570,1.3430,0.2520,-0.6536,1.515
23:27:30:1750,1.1791,0.2103,-0.8041,1.443
23:27:30:1770,1.0310,0.2178,-0.8222,1.337
23:27:30:1880,1.0116,0.2690,-0.6225,1.218
23:27:30:1980,1.1794,0.3181,-0.3631,1.274
23:27:30:2100,1.4865,0.3019,-0.1862,1.528
23:27:30:2170,1.7366,0.2494,-0.2775,1.776
23:27:30:2280,1.8336,0.1922,-0.7674,1.997
23:27:30:2380,1.7092,0.0755,-1.4040,2.213
23:27:30:2510,1.4381,-0.0778,-1.9027,2.386
23:27:30:2570,1.1404,-0.2054,-2.2045,2.490
23:27:30:2680,0.8508,-0.3477,-2.2839,2.462
23:27:30:2780,0.6244,-0.6220,-2.1562,2.329
23:27:30:2940,0.3107,-1.1090,-1.9164,2.236
23:27:30:2970,0.0620,-1.5249,-1.7750,2.341
23:27:30:3080,-0.0081,-1.9423,-1.7611,2.622
23:27:30:3180,0.0180,-2.2988,-1.7565,2.893
23:27:30:3350,-0.2559,-2.5821,-1.7708,3.141
23:27:30:3400,-0.5370,-2.8256,-1.7706,3.377
23:27:30:3479,-0.7574,-3.0327,-1.8840,3.650
23:27:30:3580,-1.0413,-3.2810,-2.0943,4.029
23:27:30:3760,-1.5459,-3.7762,-2.1073,4.592
23:27:30:3770,-2.0182,-4.1801,-2.0231,5.064
23:27:30:3900,-2.2080,-4.4719,-1.8041,5.304
23:27:30:3980,-1.9985,-4.4189,-1.6004,5.107
23:27:30:4089,-1.4003,-4.0118,-1.3935,4.472
23:27:30:4180,-0.6942,-3.5458,-1.1357,3.787
23:27:30:4290,-0.0575,-3.1517,-0.7608,3.243
23:27:30:4390,0.4386,-2.7984,-0.4077,2.862
23:27:30:4520,0.8091,-2.3258,-0.1575,2.468
23:27:30:4590,1.1526,-1.7295,-0.1064,2.081
23:27:30:4680,1.4818,-0.9911,-0.2674,1.803
23:27:30:4800,1.7173,-0.1781,-0.3123,1.754
23:27:30:4950,1.6197,0.5335,0.1403,1.711
23:27:30:4990,1.4794,1.1065,0.6154,1.947
23:27:30:5100,1.2126,1.4270,1.3305,2.297
23:27:30:5180,0.8444,1.5768,2.1492,2.796
23:27:30:5340,0.4155,1.5549,2.7639,3.198
23:27:30:5410,0.1785,1.5482,3.1847,3.546
23:27:30:5520,0.1801,1.6897,3.2161,3.637
23:27:30:5580,0.1833,1.9207,3.0823,3.636
23:27:30:5750,-0.1035,1.9278,2.8676,3.457
23:27:30:5770,-0.3889,1.9083,2.6932,3.324
23:27:30:5880,-0.8845,1.7594,2.6934,3.337
23:27:30:6000,-1.3556,1.5740,2.8109,3.495
23:27:30:6090,-1.5586,1.4020,2.9948,3.656
23:27:30:6230,-1.6206,1.2930,3.2866,3.886
23:27:30:6280,-1.6597,1.1225,3.8623,4.351
23:27:30:6400,-1.7126,0.8817,4.4780,4.875
23:27:30:6500,-1.6572,0.6513,4.7894,5.110
23:27:30:6580,-1.5376,0.5475,4.9128,5.177
23:27:30:6690,-1.3238,0.6352,4.8175,5.036
23:27:30:6770,-0.7745,0.8174,4.3248,4.469
23:27:30:6949,0.0300,1.4859,3.0380,3.382
23:27:30:6979,0.6612,2.0571,1.8741,2.860
23:27:30:7080,1.2112,2.5868,0.6029,2.919
23:27:30:7190,1.6228,3.0367,-0.5961,3.494
23:27:30:7390,1.5943,3.3196,-1.5710,4.004
23:27:30:7410,1.4946,3.2954,-1.4841,3.911
23:27:30:7490,1.1566,3.5505,-2.8975,4.726
23:27:30:7580,0.9684,3.3966,-3.3026,4.835
23:27:30:7750,0.9422,2.8576,-3.4308,4.563
23:27:30:7770,0.9376,2.4116,-3.4401,4.305
23:27:30:7890,0.9318,2.0249,-3.0855,3.806
23:27:30:7980,0.7588,1.6847,-2.5579,3.155
23:27:30:8100,0.3268,1.1899,-2.0979,2.434
23:27:30:8189,-0.2681,0.6945,-1.8344,1.980
23:27:30:8360,-0.9996,0.3254,-1.6783,1.980
23:27:30:8390,-1.5126,0.0370,-1.5770,2.185
23:27:30:8520,-1.1786,-0.7751,-2.1290,2.554
23:27:30:8570,-1.1489,-1.4596,-2.3132,2.967
23:27:30:8690,-1.7586,-0.9745,-1.9807,2.822
23:27:30:8800,-0.8869,-0.7195,-1.3829,1.794
23:27:30:8940,0.0719,-0.9593,-1.0707,1.439
23:27:30:8980,0.6552,-1.0079,-0.7092,1.396
23:27:30:9090,0.4964,-0.8386,-0.3900,1.050
23:27:30:9180,0.3178,-0.8229,-0.2029,0.905
23:27:30:9360,0.7056,-0.7890,0.1909,1.076
23:27:30:9380,1.0715,-0.6995,0.5148,1.379
23:27:30:9490,1.4741,-0.5575,0.6672,1.711
23:27:30:9610,1.8813,-0.3964,0.6249,2.022
23:27:30:9760,1.9897,-0.3437,0.3321,2.046
23:27:30:9780,2.0560,-0.3177,0.0709,2.082
23:27:30:9890,1.9907,-0.4045,-0.1333,2.036
23:27:30:9980,1.7809,-0.5279,-0.1748,1.866
23:27:31:0100,1.3587,-0.5967,-0.1612,1.493
23:27:31:0190,0.6867,-0.6233,-0.3030,0.976
23:27:31:0340,-0.0211,-0.6777,-0.4215,0.798
23:27:31:0380,-0.4930,-0.7986,-0.3348,0.996
23:27:31:0520,-0.6271,-0.9962,0.0155,1.177
23:27:31:0570,-0.3865,-0.9986,0.2706,1.105
23:27:31:0690,0.2188,-0.8667,0.4627,1.007
23:27:31:0780,0.9259,-0.7404,0.6155,1.336
23:27:31:0950,1.3051,-0.8451,0.5899,1.663
23:27:31:0970,1.5924,-0.9727,0.5215,1.938
23:27:31:1090,1.5623,-1.1132,0.3728,1.954
23:27:31:1180,1.2370,-1.2188,0.1087,1.740
23:27:31:1350,0.6071,-1.3809,-0.3871,1.557
23:27:31:1390,0.1088,-1.5064,-0.8135,1.716
23:27:31:1480,-0.1280,-1.5429,-1.0278,1.858
23:27:31:1580,-0.2349,-1.6246,-1.0171,1.931
23:27:31:1750,-0.1834,-1.7307,-0.6300,1.851
23:27:31:1790,-0.0903,-1.7962,-0.3103,1.825
23:27:31:1880,0.0700,-1.7872,-0.0960,1.791
23:27:31:1990,0.2100,-1.7437,-0.1362,1.762
23:27:31:2090,0.1733,-1.5599,-0.4350,1.629
23:27:31:2250,0.0119,-1.3523,-0.9400,1.647
23:27:31:2300,-0.2009,-1.1521,-1.2502,1.712
23:27:31:2410,-0.5316,-0.9453,-1.0866,1.535
23:27:31:2500,-0.6045,-0.7940,-0.7907,1.273
23:27:31:2580,-0.7656,-0.6049,-0.5980,1.144
23:27:31:2690,-0.9125,-0.3801,-0.4605,1.091
23:27:31:2780,-0.7897,0.0521,-0.3079,0.849
23:27:31:2940,-0.5439,0.8826,-0.2056,1.057
23:27:31:2970,-0.2436,1.6211,-0.1091,1.643
23:27:31:3080,0.0278,2.2769,0.0088,2.277
23:27:31:3240,0.1763,2.6905,0.1072,2.698
23:27:31:3350,-0.2295,2.6547,0.0470,2.665
23:27:31:3380,-0.5651,2.5757,0.0038,2.637
23:27:31:3479,-0.9706,2.4467,0.0366,2.632
23:27:31:3600,-1.2904,2.2029,0.7499,2.661
23:27:31:3760,-0.6879,2.2251,0.7126,2.436
23:27:31:3780,0.1421,2.3044,0.5506,2.374
23:27:31:3890,1.7032,2.4584,-0.2216,2.999
23:27:31:3980,2.9000,2.6000,-0.6828,3.954
23:27:31:4089,3.3323,2.1549,0.0384,3.969
23:27:31:4190,2.8534,1.6737,0.0836,3.309
23:27:31:4290,2.5199,1.1239,0.1874,2.766
23:27:31:4380,1.9883,0.6797,0.3670,2.133
23:27:31:4510,1.3858,0.3341,0.7236,1.599
23:27:31:4570,0.7849,0.1221,1.0021,1.279
23:27:31:4680,0.4103,-0.1552,1.0924,1.177
23:27:31:4800,0.1296,-0.3074,1.1093,1.158
23:27:31:4950,-0.1510,-0.1949,1.0454,1.074
23:27:31:4990,-0.2543,-0.1158,0.9710,1.010
23:27:31:5140,-0.0532,-0.1175,0.8044,0.815
23:27:31:5310,0.3083,-0.2038,0.5660,0.676
23:27:31:5380,0.3188,-0.2655,0.5377,0.679
23:27:31:5390,0.2117,-0.2435,0.5716,0.656
23:27:31:5500,0.0768,-0.1514,0.6113,0.634
23:27:31:5570,0.2233,-0.1249,0.6292,0.679
23:27:31:5760,0.3731,-0.0882,0.5651,0.683
23:27:31:5790,0.4902,-0.0515,0.5115,0.710
23:27:31:5880,0.6141,-0.0137,0.3704,0.717
23:27:31:5990,0.6282,-0.0833,0.1951,0.663
23:27:31:6100,0.4629,-0.2957,0.0664,0.553
23:27:31:6190,0.2689,-0.4913,-0.0265,0.561
23:27:31:6330,0.3105,-0.6889,-0.1557,0.772
23:27:31:6400,0.4279,-0.9156,-0.3812,1.080
23:27:31:6520,0.3890,-0.6342,-0.3736,0.833
23:27:31:6600,0.3527,-0.3096,-0.3225,0.569
23:27:31:6690,0.1819,-0.0615,-0.2708,0.332
23:27:31:6780,-0.1211,0.0650,-0.2846,0.316
23:27:31:6939,-0.3877,0.1912,-0.2809,0.516
23:27:31:6969,-0.5961,0.2986,-0.2671,0.718
23:27:31:7080,-0.6767,0.4362,-0.1849,0.826
23:27:31:7180,-0.6833,0.5850,-0.1093,0.906
23:27:31:7350,-1.3808,1.5432,0.0523,2.071
23:27:31:7370,-1.3503,2.0897,-0.0072,2.488
23:27:31:7500,-0.7882,1.8405,-0.5231,2.069
23:27:31:7600,-0.3798,1.2076,-0.9073,1.557
23:27:31:7750,0.1037,1.1199,-0.8613,1.417
23:27:31:7770,0.4947,1.1122,-0.7388,1.424
23:27:31:7880,0.6601,1.2028,-0.4688,1.450
23:27:31:7980,0.5095,1.1683,-0.2508,1.299
23:27:31:8110,0.2234,1.0030,-0.1846,1.044
23:27:31:8230,-0.0253,0.8949,-0.2204,0.922
23:27:31:8300,-0.2609,0.9089,-0.1749,0.962
23:27:31:8380,-0.2493,0.8916,-0.0558,0.927
23:27:31:8510,0.1561,0.8765,0.1241,0.899
23:27:31:8600,0.6656,0.8642,0.3135,1.135
23:27:31:8680,1.1438,0.8547,0.4122,1.486
23:27:31:8780,1.3930,0.8486,0.3661,1.672
23:27:31:8940,1.7011,0.8670,0.0715,1.911
23:27:31:8970,1.9749,0.9138,-0.2491,2.190
23:27:31:9100,2.3620,1.0482,-0.7029,2.678
23:27:31:9250,2.7270,1.1464,-1.3244,3.241
23:27:31:9380,2.8360,0.5302,-1.8724,3.440
23:27:31:9400,2.6738,0.7491,-1.8846,3.356
23:27:31:9480,2.8043,-0.6244,-2.3571,3.716
23:27:31:9600,3.0841,-1.2111,-2.3256,4.048
23:27:31:9750,2.3896,-1.7210,-2.5545,3.898
23:27:31:9770,1.6479,-2.0882,-2.7084,3.796
23:27:31:9890,0.7320,-2.3790,-2.9537,3.863
23:27:31:9980,-0.1365,-2.5942,-3.3594,4.247
23:27:32:0100,-0.0374,-3.2087,-3.1054,4.466
23:27:32:0200,0.2525,-3.9366,-2.1470,4.491
23:27:32:0390,-0.3475,-4.2848,-0.7289,4.360
23:27:32:0410,-1.7090,-4.1852,0.5960,4.560
23:27:32:0520,-2.4574,-3.5572,0.9638,4.430
23:27:32:0580,-2.6024,-2.6935,1.1929,3.931
23:27:32:0690,-2.5990,-1.5611,0.9076,3.165
23:27:32:0780,-2.2637,-0.6059,0.4649,2.389
23:27:32:0940,-1.7955,0.0486,0.2861,1.819
23:27:32:0980,-1.4327,0.5057,0.2585,1.541
23:27:32:1080,-1.4823,0.6303,0.6511,1.737
23:27:32:1200,-1.9600,0.6339,1.1617,2.365
23:27:32:1380,-2.0791,0.6314,1.1719,2.469
23:27:32:1400,-2.1294,0.6772,1.1899,2.532
23:27:32:1490,-2.1683,0.8654,1.4208,2.733
23:27:32:1590,-1.8681,0.9690,1.7051,2.709
23:27:32:1760,-1.0652,0.9573,1.6941,2.218
23:27:32:1780,-0.3996,0.9508,1.6377,1.935
23:27:32:1900,0.0434,1.0019,1.4140,1.734
23:27:32:1990,0.0275,1.0711,1.1158,1.547
23:27:32:2110,-0.4306,1.0603,0.8604,1.432
23:27:32:2190,-0.8384,1.0017,0.7016,1.483
23:27:32:2370,-0.9795,0.9353,0.4837,1.438
23:27:32:2380,-0.9544,0.8636,0.2997,1.322
23:27:32:2510,-0.7039,0.7661,0.2450,1.069
23:27:32:2570,-0.4066,0.6224,0.1853,0.766
23:27:32:2680,-0.1536,0.3488,0.1381,0.405
23:27:32:2780,0.0358,-0.0071,0.1098,0.116
23:27:32:2940,0.1940,-0.3959,0.2313,0.498
23:27:32:2980,0.3525,-0.7341,0.3024,0.869
23:27:32:3070,0.4616,-1.0241,0.3165,1.167
23:27:32:3170,0.4526,-1.2442,0.2744,1.352
23:27:32:3350,0.2817,-1.4852,0.2152,1.527
23:27:32:3370,0.1402,-1.6978,0.1481,1.710
23:27:32:3479,0.0890,-1.8973,0.0875,1.901
23:27:32:3570,0.2827,-2.0325,-0.0045,2.052
23:27:32:3750,0.6455,-2.0262,-0.1607,2.133
23:27:32:3770,0.9335,-1.9996,-0.2584,2.222
23:27:32:3880,1.1397,-1.7877,-0.2558,2.135
23:27:32:4030,1.2529,-1.3873,-0.2251,1.883
23:27:32:4100,1.2609,-0.8275,-0.2908,1.536
23:27:32:4180,1.1499,-0.1133,-0.5506,1.280
23:27:32:4280,0.8731,0.7889,-0.9267,1.498
23:27:32:4370,0.7577,1.5105,-1.1053,2.019
23:27:32:4510,0.7375,1.9952,-1.0202,2.359
23:27:32:4570,0.7591,2.2932,-0.7827,2.539
23:27:32:4680,0.7046,2.2794,-0.4366,2.425
23:27:32:4790,0.5833,1.9108,-0.2202,2.010
23:27:32:4940,0.3814,1.3806,-0.1707,1.442
23:27:32:4970,0.1847,0.9059,-0.1711,0.940
23:27:32:5080,-0.0036,0.6044,-0.2508,0.654
23:27:32:5180,-0.2648,0.5333,-0.3116,0.672
23:27:32:5350,-0.3793,0.6302,-0.3619,0.820
23:27:32:5370,-0.4824,0.7491,-0.3740,0.966
23:27:32:5480,-0.4853,0.8681,-0.3071,1.041
23:27:32:5580,-0.4088,0.9092,-0.2607,1.030
23:27:32:5760,-0.2252,0.9107,-0.2933,0.983
23:27:32:5780,-0.2139,1.0114,-0.2760,1.070
23:27:32:5880,-0.4824,1.3948,-0.2284,1.493
23:27:32:5990,-0.8940,1.9961,-0.1644,2.193
23:27:32:6100,-1.2261,2.7194,-0.0283,2.983
23:27:32:6180,-1.3973,3.4865,0.0299,3.756
23:27:32:6300,-1.4771,4.2304,0.0317,4.481
23:27:32:6410,-1.4481,4.8449,0.0886,5.057
23:27:32:6500,-1.4524,5.3221,0.0983,5.518
23:27:32:6590,-1.4861,5.6857,0.1522,5.879
23:27:32:6680,-1.5337,6.0073,0.2110,6.204
23:27:32:6780,-1.6008,6.2714,0.1233,6.474
23:27:32:6949,-1.6297,6.4108,-0.1405,6.616
23:27:32:6969,-1.6518,6.4031,-0.4418,6.627
23:27:32:7090,-0.8638,4.9565,-1.0003,5.130
23:27:32:7180,1.3406,1.4129,-1.5874,2.513
23:27:32:7360,4.3064,-4.2735,-1.8689,6.348
23:27:32:7390,5.5697,-8.6400,-1.6688,10.414
23:27:32:7530,4.1493,-11.1187,-0.7658,11.892
23:27:32:7670,2.0449,-12.1710,0.4190,12.349
23:27:32:7760,0.7607,-10.9315,1.4358,11.052
23:27:32:7790,-0.1741,-9.6754,2.1179,9.906
23:27:32:7880,-0.8359,-7.8752,1.7725,8.115
23:27:32:8050,-1.2616,-5.9211,0.9882,6.134
23:27:32:8090,-1.5033,-3.9894,0.1368,4.265
23:27:32:8179,-1.3739,-2.3288,-0.5482,2.759
23:27:32:8280,-0.9712,-1.1071,-1.1394,1.862
23:27:32:8380,-0.3965,-0.3679,-1.6547,1.741
23:27:32:8510,0.2414,-0.1702,-2.0553,2.076
23:27:32:8590,0.6987,-0.1888,-2.3148,2.425
23:27:32:8680,0.9539,-0.3076,-2.4101,2.610
23:27:32:8770,1.1586,-0.3536,-2.3460,2.640
23:27:32:8950,1.2755,-0.2450,-2.1870,2.544
23:27:32:8980,1.3451,-0.1514,-2.0147,2.427
23:27:32:9070,1.4076,-0.0723,-1.8163,2.299
23:27:32:9180,1.5155,-0.0152,-1.6652,2.252
23:27:32:9410,1.7288,0.0944,-1.7252,2.444
23:27:32:9430,1.8998,0.1862,-1.8405,2.652
23:27:32:9480,2.0950,0.3328,-2.0911,2.979
23:27:32:9580,2.3278,0.5434,-2.4725,3.439
23:27:32:9760,2.7204,0.8502,-3.0210,4.153
23:27:32:9800,3.0552,1.0955,-3.5150,4.784
23:27:32:9920,3.2405,1.3258,-3.9881,5.307
23:27:32:9990,3.5020,1.5199,-4.4503,5.863
23:27:33:0100,3.5478,1.7336,-4.7989,6.215
23:27:33:0170,3.6528,1.8877,-5.0785,6.534
23:27:33:0270,3.7348,1.9036,-5.0931,6.596
23:27:33:0410,3.5118,1.7503,-4.7375,6.151
23:27:33:0490,2.9925,1.4460,-3.8886,5.115
23:27:33:0580,2.5293,0.9616,-2.7434,3.853
23:27:33:0680,2.0845,0.2659,-1.5349,2.602
23:27:33:0770,1.6521,-0.4493,-0.3503,1.748
23:27:33:0960,1.3954,-0.7261,0.7992,1.764
23:27:33:0990,1.1974,-0.9222,1.6411,2.231
23:27:33:1080,1.0650,-0.9559,2.0275,2.482
23:27:33:1180,0.8977,-0.9430,2.0705,2.446
23:27:33:1409,0.5694,-1.1038,1.7919,2.180
23:27:33:1429,0.2533,-1.2845,1.5790,2.051
23:27:33:1470,-0.5136,-1.5450,1.4694,2.193
23:27:33:1570,-1.1316,-1.8118,0.9239,2.327
23:27:33:1739,-1.2215,-1.6175,-2.0786,2.903
23:27:33:1760,-1.2896,-1.3018,-4.7220,5.065
23:27:33:1870,-1.9108,-0.5954,-6.5599,6.858
23:27:33:1970,-3.1562,0.1488,-6.7872,7.487
23:27:33:2090,-3.1032,0.2433,-6.6848,7.374
23:27:33:2170,-6.7247,0.9002,-2.0094,7.076
23:27:33:2270,-7.7217,1.3482,-0.8690,7.887
23:27:33:2370,-7.9091,2.2064,-1.2558,8.307
23:27:33:2530,-7.4529,3.5252,-2.4976,8.615
23:27:33:2560,-6.9077,4.7931,-3.4697,9.095
23:27:33:2670,-6.5162,6.1006,-3.1569,9.468
23:27:33:2760,-5.7061,7.4814,-0.7429,9.438
23:27:33:2950,-3.2926,8.2680,1.3819,9.006
23:27:33:2970,-1.0742,8.7115,2.7529,9.199
23:27:33:3090,1.6705,8.3084,3.1940,9.057
23:27:33:3170,3.9364,7.2220,3.7529,9.041
23:27:33:3380,4.2446,4.9657,4.7724,8.090
23:27:33:3400,4.3046,2.8633,5.3829,7.463
23:27:33:3500,3.5398,0.4918,4.0790,5.423
23:27:33:3560,1.8640,-2.2649,1.4138,3.256
23:27:33:3750,0.5288,-3.5427,0.8324,3.677
23:27:33:3780,-0.3162,-4.3086,0.5982,4.361
23:27:33:3860,-0.2273,-4.1166,0.7873,4.197
23:27:33:3970,-1.0027,-3.5956,0.1380,3.735
23:27:33:4079,-2.5538,-3.0486,-0.4566,4.003
23:27:33:4160,-3.5025,-1.7508,-0.7431,3.986
23:27:33:4320,-3.2491,0.0622,-0.8287,3.354
23:27:33:4470,-1.9721,1.1024,-0.1916,2.267
23:27:33:4490,-0.2838,0.7345,0.4587,0.911
23:27:33:4570,1.1735,-0.0928,0.7173,1.378
23:27:33:4680,1.9483,-1.0731,1.0352,2.453
23:27:33:4780,1.9467,-1.9130,1.3176,3.031
23:27:33:4930,1.6576,-2.2118,1.3323,3.068
23:27:33:4960,1.3360,-2.4164,1.1854,3.005
23:27:33:5070,0.8210,-2.3567,0.8688,2.642
23:27:33:5170,0.2772,-1.9464,0.6825,2.081
23:27:33:5350,-0.3858,-1.7139,0.4790,1.821
23:27:33:5370,-0.9294,-1.5569,0.4336,1.864
23:27:33:5470,-1.2589,-1.5553,0.4980,2.062
23:27:33:5570,-1.2821,-1.4974,0.3066,1.995
23:27:33:5740,-0.9704,-1.2973,0.2721,1.643
23:27:33:5770,-0.6662,-1.1056,0.3514,1.338
23:27:33:5890,-0.2766,-0.9949,0.5557,1.173
23:27:33:5970,0.0798,-0.8025,0.6199,1.017
23:27:33:6100,0.4082,-0.5085,1.0408,1.228
23:27:33:6170,0.8101,-0.1170,1.4502,1.665
23:27:33:6320,1.2092,0.1733,1.5043,1.938
23:27:33:6380,1.5785,-0.0013,1.5849,2.237
23:27:33:6540,1.9025,-0.3699,1.7068,2.582
23:27:33:6560,2.1465,-0.6938,1.7274,2.841
23:27:33:6670,2.2519,-0.8405,1.8008,3.003
23:27:33:6770,2.2659,-0.7819,1.7668,2.978
23:27:33:6929,2.2590,-0.5786,1.7716,2.929
23:27:33:6969,2.2852,-0.4046,1.8017,2.938
23:27:33:7070,2.3572,-0.2758,1.7369,2.941
23:27:33:7190,2.3769,-0.2185,1.5727,2.858
23:27:33:7380,2.3653,-0.1893,1.4006,2.755
23:27:33:7450,2.3569,-0.1502,1.2579,2.676
23:27:33:7470,2.3221,-0.0361,1.0572,2.552
23:27:33:7610,2.2310,0.0936,0.8327,2.383
23:27:33:7740,2.0380,0.1752,0.5344,2.114
