time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
17:28:42:4089,0.1697,-0.1089,-0.5530,0.589
17:28:42:4160,0.2146,-0.2033,-0.4931,0.575
17:28:42:4230,0.3107,-0.0877,0.0977,0.337
17:28:42:4340,0.1797,-0.0485,0.5504,0.581
17:28:42:4440,-0.0587,-0.1311,0.3236,0.354
17:28:42:4560,-0.0846,-0.0292,0.3145,0.327
17:28:42:4630,-0.5609,0.4229,0.3723,0.795
17:28:42:4740,-0.6778,0.3656,0.7127,1.049
17:28:42:4830,-0.4190,0.1291,1.2651,1.339
17:28:42:5020,-0.4571,0.1431,1.2496,1.338
17:28:42:5040,-0.2378,-0.3417,1.1327,1.207
17:28:42:5140,-0.8451,-0.1772,0.7752,1.160
17:28:42:5240,-1.0367,0.1727,0.7136,1.270
17:28:42:5410,0.0656,0.5692,-0.1268,0.587
17:28:42:5430,0.2849,0.5043,-0.2028,0.614
17:28:42:5540,0.6565,0.5227,-0.3027,0.892
17:28:42:5639,0.3244,0.5025,-0.0045,0.598
17:28:42:5820,0.6596,0.9292,2.2100,2.486
17:28:42:5840,0.8565,0.9421,2.5396,2.841
17:28:42:5940,1.9240,0.8679,2.5365,3.300
17:28:42:6030,1.7257,0.7939,2.5076,3.146
17:28:42:6150,1.5175,-0.7784,-1.3612,2.182
17:28:42:6230,1.2158,-0.6987,-3.3196,3.604
17:28:42:6340,1.1020,-0.3951,-5.1409,5.273
17:28:42:6440,1.0698,-0.0288,-5.3555,5.461
17:28:42:6580,1.0999,0.0955,-3.6702,3.833
17:28:42:6640,1.4460,-0.0790,-2.0103,2.478
17:28:42:6740,2.2307,0.5648,-1.0791,2.542
17:28:42:6830,2.5261,-0.2146,-0.4953,2.583
17:28:42:7000,2.3535,0.3448,0.7312,2.488
17:28:42:7030,2.2284,0.9430,1.2624,2.729
17:28:42:7140,0.8504,1.1143,3.4284,3.704
17:28:42:7250,1.1090,0.2322,3.1062,3.306
17:28:42:7420,0.3687,-0.2773,-0.8585,0.975
17:28:42:7430,0.0232,-0.1103,-1.5500,1.554
17:28:42:7560,-1.0382,0.1873,-2.6088,2.814
17:28:42:7630,-0.6960,0.0981,-2.4581,2.557
17:28:42:7820,1.2089,0.7443,-1.2197,1.872
17:28:42:7830,1.4602,0.7450,-1.1037,1.976
17:28:42:7950,2.1346,0.5751,-0.1702,2.217
17:28:42:8040,1.5260,0.5713,-0.3422,1.665
17:28:42:8149,0.4448,0.3574,-1.3577,1.473
17:28:42:8240,0.3119,0.2806,-1.3642,1.427
17:28:42:8340,-0.8803,-0.2050,-2.8260,2.967
17:28:42:8440,-1.4002,0.0588,-2.8098,3.140
17:28:42:8560,-1.6461,-0.0346,-2.6924,3.156
17:28:42:8640,-1.6922,-0.3626,-2.3697,2.934
17:28:42:8740,-1.8784,-0.7264,-1.2541,2.372
17:28:42:8840,-1.8050,-1.2093,-0.3963,2.208
17:28:42:9000,-1.1382,-1.9341,-0.2329,2.256
17:28:42:9030,-1.2145,-2.0381,-0.4635,2.417
17:28:42:9140,-1.3494,-2.2668,-1.4197,2.996
17:28:42:9240,-1.0470,-2.8096,-2.3658,3.819
17:28:42:9400,-0.1246,-4.0640,-4.7005,6.215
17:28:42:9430,-0.5774,-4.1590,-4.7026,6.304
17:28:42:9540,-2.5570,-3.9479,-5.2733,7.066
17:28:42:9650,-3.9508,-3.7614,-6.3395,8.363
17:28:42:9820,-4.4803,-4.9285,-8.3350,10.669
17:28:42:9840,-4.3614,-5.3942,-8.3282,10.839
17:28:43:0030,-2.5057,-6.5862,-8.2024,10.814
17:28:43:0060,-2.3054,-7.1112,-7.7283,10.752
17:28:43:0160,-1.9085,-8.4141,-7.1689,11.218
17:28:43:0280,-1.9493,-9.4712,-6.6926,11.760
17:28:43:0370,-1.7695,-10.4267,-5.8119,12.068
17:28:43:0440,-1.3744,-10.6216,-4.5854,11.650
17:28:43:0560,-0.5165,-10.9357,-3.5088,11.496
17:28:43:0640,0.5285,-11.0239,-2.7734,11.380
17:28:43:0750,1.8969,-10.6278,-2.0073,10.981
17:28:43:0840,3.2516,-10.3652,-1.2492,10.935
17:28:43:1000,4.4709,-10.8937,-0.2109,11.777
17:28:43:1040,4.2930,-10.6704,0.4080,11.509
17:28:43:1140,4.5262,-10.5287,1.6144,11.574
17:28:43:1240,5.4202,-10.4816,2.6319,12.090
17:28:43:1409,7.3280,-10.4100,3.3635,13.167
17:28:43:1450,7.7290,-9.7899,3.7658,13.029
17:28:43:1550,9.8208,-8.3790,3.9727,13.507
17:28:43:1640,11.1431,-6.4315,3.3084,13.284
17:28:43:1840,10.6391,-4.1676,2.0888,11.616
17:28:43:1860,10.5874,-3.8369,2.3697,11.508
17:28:43:1940,9.6043,-3.6069,2.8737,10.654
17:28:43:2039,8.2003,-4.3183,3.3000,9.838
17:28:43:2160,7.0425,-4.5452,3.6360,9.136
17:28:43:2240,6.8832,-4.1365,3.5958,8.799
17:28:43:2350,7.2521,-3.6953,3.2502,8.764
17:28:43:2440,8.0208,-2.1632,3.4198,8.984
17:28:43:2570,9.0805,-1.1441,4.9430,10.402
17:28:43:2630,9.2680,-1.0262,5.7461,10.953
17:28:43:2740,7.7992,-1.6781,6.5303,10.310
17:28:43:2870,6.2224,-1.3044,6.7177,9.249
17:28:43:3070,8.6888,-0.4930,3.5884,9.414
17:28:43:3090,9.3820,-0.1188,3.7368,10.099
17:28:43:3150,9.3760,1.2903,5.4084,10.901
17:28:43:3240,11.6544,3.6869,2.9455,12.574
17:28:43:3410,9.2905,4.5732,2.3321,10.614
17:28:43:3439,8.7635,4.6735,3.3069,10.468
17:28:43:3540,8.0998,2.2894,0.8817,8.463
17:28:43:3640,9.0547,4.6827,-1.5109,10.305
17:28:43:3820,10.5506,5.9416,-2.4303,12.350
17:28:43:3850,10.9224,5.8646,-2.5228,12.651
17:28:43:3950,11.2286,7.1529,0.0273,13.313
17:28:43:4030,10.5678,7.7112,-3.5963,13.567
17:28:43:4160,6.3762,7.8483,-10.8620,14.840
17:28:43:4230,1.9524,5.5857,-14.4724,15.635
17:28:43:4350,-8.1126,0.3182,-20.6549,22.193
17:28:43:4440,-4.8038,3.3390,-10.0691,11.645
17:28:43:4560,0.6428,2.0882,-7.2267,7.550
17:28:43:4630,5.0507,3.5707,-2.5337,6.684
17:28:43:4840,8.9698,5.2083,-6.5256,12.254
17:28:43:4860,1.8598,5.0197,-11.7574,12.919
17:28:43:5080,-7.0588,0.5538,-6.1322,9.367
17:28:43:5100,-6.8961,0.0305,-3.1594,7.585
17:28:43:5130,-4.5620,-0.2173,1.9898,4.982
17:28:43:5290,-1.4933,2.3312,3.5241,4.481
17:28:43:5410,-0.2701,4.8322,0.9170,4.926
17:28:43:5430,-0.4264,4.6236,0.9510,4.740
17:28:43:5540,-0.6265,4.3794,1.3914,4.638
17:28:43:5649,-3.3054,3.9442,-1.5842,5.384
17:28:43:5810,-0.9856,8.4429,3.4192,9.162
17:28:43:5860,-0.2828,8.3441,4.8838,9.672
17:28:43:5960,4.0743,6.3861,7.9734,10.998
17:28:43:6040,-2.1468,3.8282,5.8889,7.345
